Tissue,Cell_Type,Kras_mean_all,Kras_mean_male,Kras_mean_female,Cell_count_all,Cell_count_male,Cell_count_female
Lung,B cell,1.8930424451828003,1.57026207447052,1.9981337785720825,57,14.0,43.0
Lung,lung endothelial cell,0.9819568991661072,0.8763231635093689,1.0493830442428589,693,270.0,423.0
Lung,monocyte,1.8189326524734497,1.3277932405471802,3.9881317615509033,65,53.0,12.0
Lung,leukocyte,2.4810004234313965,2.470738172531128,2.487842321395874,35,14.0,21.0
Lung,nan,1.07562255859375,0.556617021560669,1.7778065204620361,40,23.0,17.0
Lung,stromal cell,0.3061598539352417,0.3629683256149292,0.21087999641895294,423,265.0,158.0
Lung,ciliated columnar cell of tracheobronchial tree,0.7084491848945618,0.33324941992759705,1.0032490491867065,25,11.0,14.0
Lung,natural killer cell,2.0295615196228027,1.8814208507537842,2.1554806232452393,37,17.0,20.0
Lung,classical monocyte,1.0986074209213257,1.316689133644104,0.800179660320282,90,52.0,38.0
Lung,epithelial cell of lung,0.7971493601799011,0.7601042985916138,0.8276218175888062,113,51.0,62.0
Lung,T cell,1.8358793258666992,1.284745216369629,2.258415460586548,53,23.0,30.0
Mammary_Gland,stromal cell,0.7444908022880554,,0.7444908022880554,440,,440.0
Mammary_Gland,basal cell,1.1585967540740967,,1.1585967540740967,1340,,1340.0
Mammary_Gland,luminal epithelial cell of mammary gland,1.376535177230835,,1.376535177230835,578,,578.0
Mammary_Gland,endothelial cell,1.0605634450912476,,1.0605634450912476,47,,47.0
Marrow,late pro-B cell,1.1786909103393555,1.197527289390564,1.11518394947052,306,236.0,70.0
Marrow,common lymphoid progenitor,0.5081089735031128,0.4945424497127533,0.7968815565109253,156,149.0,7.0
Marrow,basophil,0.8502047061920166,0.47205692529678345,1.2598650455474854,25,13.0,12.0
Marrow,naive B cell,1.0883561372756958,1.1333998441696167,1.025169849395752,692,404.0,288.0
Marrow,regulatory T cell,0.6530130505561829,0.9560298323631287,0.2742418944835663,27,15.0,12.0
Marrow,precursor B cell,0.5299924612045288,0.458295613527298,0.689966082572937,517,357.0,160.0
Marrow,monocyte,0.42772388458251953,0.37866565585136414,0.49313458800315857,266,152.0,114.0
